City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
218,Dzilam Gonzalez,MX,77.68,broken clouds,21.2833,-88.9333,posadas
221,Atar,MR,87.33,broken clouds,20.5169,-13.0499,Oumou Elghoura
226,Nan,TH,82.42,scattered clouds,18.8333,100.6667,สะเนียน2
228,Bandarbeyla,SO,81.86,overcast clouds,9.4942,50.8122,JABIR HOTEL
241,Manokwari,ID,82.45,broken clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
251,Teluk Nibung,ID,77.2,overcast clouds,3.001,99.8164,Hotel Assyifa
253,Hobyo,SO,79.11,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
255,Adrar,MR,89.33,light rain,20.5022,-10.0711,
258,Pyay,MM,79.54,light rain,18.8167,95.2167,Shwe Pyi Thar
262,Pasni,PK,82.17,overcast clouds,25.2631,63.471,Kashmiri Hotal
268,Micheweni,TZ,75.88,scattered clouds,-4.9667,39.8333,
269,Augusto Correa,BR,75.27,clear sky,-1.0217,-46.635,Fazenda Bacuri
275,Kavieng,PG,84.65,broken clouds,-2.5744,150.7967,Nusa Island Retreat
279,Sorong,ID,81.01,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
280,Gazojak,TM,86.47,clear sky,41.1875,61.4036,
281,Saint George,US,84.79,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
283,Puerto Cabezas,NI,78.73,overcast clouds,14.0351,-83.3888,Cabaña Caribe
284,Laguna,US,88.32,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
285,Kashan,IR,81.99,clear sky,33.9831,51.4364,Manouchehri Traditional House
286,San Jose,US,76.98,few clouds,37.3394,-121.895,The Westin San Jose
290,Nata,PA,76.15,broken clouds,8.3333,-80.5167,Rey David
292,Ratangarh,IN,85.17,scattered clouds,28.0833,74.6,Hotel Shri Laxmi Palace
297,Portland,US,87.84,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
300,Namatanai,PG,82.38,light rain,-3.6667,152.4333,Seagulls Inn Namatani
301,Zaltan,LY,87.37,clear sky,32.947,11.8665,Fars Alfelale
304,Stephenville,US,77.79,light rain,32.2207,-98.2023,La Quinta Inn & Suites by Wyndham Stephenville
309,Midland,US,76.48,moderate rain,31.9974,-102.0779,DoubleTree by Hilton Hotel Midland Plaza
313,Cabo San Lucas,MX,83.52,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
318,Mulege,MX,85.3,broken clouds,26.8833,-111.9833,Casa Granada
319,Bull Savanna,JM,77.43,overcast clouds,17.8868,-77.5902,Big Red's
333,Tanabe,JP,87.01,broken clouds,33.7333,135.3667,美吉屋旅館
336,Komsomolskiy,UZ,83.12,clear sky,40.4272,71.7189,Ikathouse
339,Pangkalanbuun,ID,89.91,broken clouds,-2.6833,111.6167,Grand Kecubung Hotel
343,Kawai,JP,77.83,overcast clouds,34.2333,135.85,Hanaya Tokubei
348,Bima,ID,88.3,broken clouds,-8.4667,118.7167,Lambitu Hotel
349,Sigli,ID,85.78,broken clouds,5.3848,95.9609,Losmen Dua Mali
352,Auburn,US,80.4,broken clouds,47.3073,-122.2284,La Quinta Inn & Suites by Wyndham Auburn
